0,092;0,912;0,716;0,576;0,902;0,73;0,435;0,475;0,96;0,541;0,242;0,942;0,282;0,636;0,567
0,941;0,61;0,926;0,854;0,164;0,817;0,778;0,527;0,933;0,348;0,506;0,972;0,022;0,251;0,241
0,252;0,737;0,027;0,175;0,967;0,182;0,488;0,823;0,777;0,256;0,566;0,591;0,594;0,243;0,174
0,508;0,605;0,713;0,403;0,485;0,362;0,308;0,413;0,654;0,339;0,556;0,029;0,124;0,164;0,248
0,081;0,999;0,428;0,446;0,451;0,008;0,753;0,061;0,878;0,34;0,557;0,893;0,244;0,478;0,207
0,734;0,503;0,971;0,854;0,321;0,075;0,53;0,968;0,349;0,058;0,57;0,143;0,807;0,551;0,331
0,471;0,577;0,576;0,997;0,154;0,254;0,535;0,929;0,97;0,469;0,789;0,57;0,999;0,351;0,448
0,481;0,946;0,533;0,71;0,428;0,931;0,904;0,716;0,093;0,023;0,975;0,535;0,137;0,974;0,651
0,439;0,839;0,404;0,233;0,0;0,779;0,111;0,121;0,427;0,092;0,589;0,449;0,076;0,555;0,921
0,379;0,642;0,046;0,718;0,798;0,284;0,46;0,35;0,68;0,705;0,173;0,121;0,924;0,466;0,113
0,554;0,736;0,808;0,546;0,27;0,558;0,457;0,386;0,921;0,316;0,804;0,558;0,473;0,012;0,652
0,566;0,848;0,679;0,511;0,513;0,53;0,232;0,01;0,713;0,028;0,25;0,578;0,496;0,207;0,362
0,464;0,76;0,76;0,98;0,03;0,631;0,393;0,716;0,945;0,46;0,969;0,784;0,975;0,094;0,049
0,869;0,432;0,925;0,147;0,969;0,01;0,273;0,095;0,298;0,097;0,654;0,284;0,337;0,594;0,983
0,886;0,743;0,549;0,916;0,932;0,953;0,17;0,921;0,886;0,107;0,907;0,433;0,065;0,085;0,078
0,767;0,768;0,17;0,766;0,914;0,843;0,024;0,625;0,25;0,218;0,747;0,527;0,482;0,44;0,809
0,71;0,276;0,046;0,121;0,955;0,558;0,886;0,682;0,803;0,431;0,412;0,196;0,589;0,582;0,852
0,947;0,18;0,07;0,324;0,225;0,15;0,569;0,324;0,463;0,815;0,042;0,895;0,386;0,208;0,429
0,541;0,628;0,11;0,148;0,707;0,387;0,22;0,267;0,595;0,041;0,323;0,339;0,96;0,775;0,296
0,171;0,308;0,843;0,507;0,103;0,991;0,12;0,306;0,305;0,985;0,288;0,031;0,677;0,318;0,37
0,492;0,538;0,479;0,449;0,852;0,856;0,113;0,784;0,924;0,522;0,851;0,633;0,653;0,979;0,063
0,278;0,816;0,893;0,803;0,658;0,614;0,025;0,724;0,472;0,51;0,593;0,519;0,006;0,887;0,953
0,674;0,826;0,856;0,158;0,019;0,638;0,112;0,067;0,351;0,707;0,67;0,631;0,893;0,886;0,261
0,212;0,543;0,614;0,153;0,915;0,103;0,594;0,689;0,412;0,746;0,669;0,308;0,494;0,635;0,54
0,904;0,962;0,564;0,708;0,193;0,006;0,997;0,266;0,114;0,228;0,325;0,051;0,836;0,861;0,006
0,872;0,881;0,918;0,032;0,229;0,578;0,765;0,105;0,407;0,406;0,19;0,252;0,309;0,584;0,129
0,387;0,2;0,566;0,099;0,054;0,762;0,026;0,431;0,399;0,125;0,484;0,983;0,561;0,294;0,865
0,847;0,055;0,376;0,78;0,37;0,636;0,527;0,463;0,158;0,817;0,31;0,476;0,325;0,173;0,219
0,385;0,937;0,976;0,746;0,898;0,116;0,723;0,589;0,107;0,797;0,905;0,245;0,722;0,109;0,802
0,08;0,649;0,553;0,568;0,348;0,847;0,022;0,049;0,4;0,968;0,269;0,657;0,761;0,896;0,661
0,518;0,115;0,837;0,393;0,852;0,565;0,484;0,835;0,579;0,8;0,048;0,808;0,338;0,078;0,696
0,609;0,674;0,926;0,93;0,148;0,369;0,056;0,97;0,661;0,641;0,965;0,562;0,465;0,436;0,872
0,6;0,337;0,953;0,328;0,423;0,227;0,666;0,07;0,152;0,238;0,699;0,836;0,869;0,532;0,677
0,092;0,257;0,054;0,843;0,394;0,76;0,019;0,494;0,105;0,788;0,811;0,227;0,207;0,563;0,742
0,577;0,427;0,988;0,355;0,211;0,137;0,125;0,731;0,834;0,75;0,606;0,936;0,603;0,227;0,648
0,128;0,983;0,511;0,53;0,635;0,035;0,278;0,91;0,514;0,956;0,048;0,059;0,876;0,001;0,927
0,895;0,892;0,151;0,815;0,814;0,623;0,07;0,467;0,583;0,599;0,259;0,369;0,228;0,121;0,253
0,432;0,803;0,359;0,175;0,721;0,734;0,787;0,934;0,678;0,957;0,733;0,456;0,778;0,614;0,377
0,674;0,425;0,793;0,882;0,577;0,611;0,299;0,659;0,794;0,037;0,847;0,592;0,452;0,25;0,699
0,573;0,163;0,735;0,77;0,027;0,259;0,057;0,462;0,356;0,378;0,24;0,853;0,23;0,132;0,666
0,798;0,446;0,656;0,038;0,003;0,82;0,247;0,565;0,791;0,515;0,446;0,035;0,983;0,716;0,406
0,553;0,812;0,071;0,187;0,039;0,139;0,379;0,028;0,106;0,669;0,298;0,094;0,493;0,023;0,574
0,855;0,109;0,295;0,713;0,856;0,689;0,082;0,293;0,379;0,084;0,707;0,34;0,728;0,125;0,765
0,758;0,87;0,437;0,42;0,098;0,829;0,624;0,183;0,855;0,771;0,686;0,342;0,77;0,223;0,055
0,23;0,777;0,484;0,173;0,055;0,709;0,925;0,709;0,639;0,226;0,52;0,205;0,32;0,773;0,781
0,987;0,482;0,007;0,465;0,222;0,472;0,856;0,529;0,107;0,478;0,218;0,278;0,842;0,95;0,728
0,21;0,393;0,601;0,722;0,075;0,03;0,326;0,375;0,551;0,691;0,653;0,735;0,476;0,898;0,632
0,956;0,255;0,283;0,71;0,914;0,311;0,255;0,143;0,434;0,544;0,437;0,758;0,4;0,291;0,298
0,716;0,843;0,422;0,307;0,564;0,79;0,137;0,816;0,348;0,814;0,485;0,999;0,411;0,394;0,821
0,48;0,561;0,107;0,728;0,844;0,396;0,952;0,037;0,134;0,914;0,182;0,113;0,097;0,573;0,17
0,625;0,657;0,261;0,675;0,963;0,581;0,564;0,979;0,073;0,331;0,236;0,864;0,662;0,019;0,921
0,955;0,026;0,635;0,32;0,419;0,226;0,34;0,123;0,426;0,638;0,983;0,996;0,757;0,095;0,027
0,59;0,196;0,185;0,501;0,471;0,266;0,142;0,573;0,936;0,672;0,962;0,747;0,109;0,959;0,22
0,866;0,925;0,257;0,633;0,002;0,599;0,464;0,008;0,038;0,839;0,005;0,327;0,256;0,601;0,072
0,613;0,5;0,318;0,294;0,168;0,023;0,71;0,602;0,001;0,528;0,602;0,733;0,482;0,782;0,97
0,46;0,506;0,029;0,101;0,361;0,132;0,131;0,233;0,465;0,183;0,345;0,512;0,291;0,594;0,336
0,892;0,855;0,348;0,392;0,589;0,03;0,275;0,048;0,509;0,105;0,51;0,901;0,564;0,344;0,888
0,081;0,425;0,429;0,555;0,676;0,421;0,366;0,724;0,468;0,1;0,891;0,212;0,659;0,744;0,036
0,006;0,12;0,87;0,853;0,423;0,655;0,622;0,255;0,794;0,352;0,397;0,675;0,86;0,427;0,044
0,343;0,752;0,887;0,821;0,264;0,332;0,483;0,45;0,934;0,964;0,295;0,289;0,072;0,894;0,582
0,706;0,633;0,813;0,317;0,193;0,193;0,273;0,038;0,76;0,324;0,262;0,571;0,157;0,069;0,054
0,395;0,737;0,054;0,353;0,71;0,075;0,543;0,547;0,793;0,607;0,891;0,921;0,142;0,173;0,847
0,696;0,77;0,519;0,265;0,947;0,844;0,791;0,223;0,212;0,967;0,184;0,344;0,224;0,19;0,697
